Company,Rating,Reviews
TCS,3.3,1.1L
Accenture,3.7,72.2k
Wipro,3.6,64.1k
Cognizant,3.6,60.4k
Capgemini,3.7,52.1k
HDFC Bank,3.8,51.3k
Infosys,3.5,47.9k
ICICI Bank,3.9,45.3k
HCLTech,3.4,45.1k
Tech Mahindra,3.4,42.7k
Genpact,3.6,41.4k
Teleperformance,3.8,37.3k
Jio,4.4,33.3k
Axis Bank,3.6,32.6k
Concentrix Corporation,3.6,31.7k
Amazon,3.9,31k
iEnergizer,4.6,27.3k
Reliance Retail,3.9,27.1k
LTIMindtree,3.6,26.1k
IBM,3.9,25.5k
TCS,3.3,1.1L
Accenture,3.7,72.2k
Wipro,3.6,64.1k
Cognizant,3.6,60.4k
Capgemini,3.7,52.1k
HDFC Bank,3.8,51.3k
Infosys,3.5,47.9k
ICICI Bank,3.9,45.3k
HCLTech,3.4,45.1k
Tech Mahindra,3.4,42.7k
Genpact,3.6,41.4k
Teleperformance,3.8,37.3k
Jio,4.4,33.3k
Axis Bank,3.6,32.6k
Concentrix Corporation,3.6,31.7k
Amazon,3.9,31k
iEnergizer,4.6,27.3k
Reliance Retail,3.9,27.1k
LTIMindtree,3.6,26.1k
IBM,3.9,25.5k
HDB Financial Services,3.9,25.3k
Larsen & Toubro Limited,3.9,23.5k
Deloitte,3.7,22.7k
Kotak Mahindra Bank,3.6,22.1k
Reliance Industries,4.0,20k
Vodafone Idea,3.9,17.5k
Bharti Airtel,3.8,16.9k
BYJU'S,3.2,16.4k
WNS,3.3,15k
IDFC FIRST Bank,3.9,14.2k
Ernst & Young,3.4,14.2k
Tata Motors,4.1,14.1k
IndusInd Bank,3.4,14k
AU Small Finance Bank,3.9,14k
Muthoot FinCorp,4.6,13k
Bajaj Finserv,4.0,12.8k
Flipkart,3.9,12.8k
PwC,3.3,12.3k
Mahindra & Mahindra,4.0,11.9k
Infosys BPM,3.5,11.9k
HDFC Life,3.9,11.8k
DXC Technology,3.6,11.8k
Bandhan Bank,3.7,10.8k
Digitide Solutions,3.5,10.2k
Mphasis,3.3,10.1k
Yes Bank,3.7,10k
Tata Steel,4.0,9.8k
Quess,3.8,9.6k
Maruti Suzuki,4.2,9.5k
Asian Paints,3.9,9.4k
Startek,3.1,9.4k
UltraTech Cement,4.1,9.3k
Paytm,3.2,9.2k
Bajaj Finance,3.9,9k
Shriram Finance,4.0,9k
Sutherland Global Services,3.4,8.9k
Equitas Small Finance Bank,4.4,8.8k
Cipla,4.1,8.5k
EXL Service,3.6,8.5k
Wells Fargo,3.6,8.5k
TCS,3.3,1.1L
Accenture,3.7,72.2k
Wipro,3.6,64.1k
Cognizant,3.6,60.4k
Capgemini,3.7,52.1k
HDFC Bank,3.8,51.3k
Infosys,3.5,47.9k
ICICI Bank,3.9,45.3k
HCLTech,3.4,45.1k
Tech Mahindra,3.4,42.7k
Genpact,3.6,41.4k
Teleperformance,3.8,37.3k
Jio,4.4,33.3k
Axis Bank,3.6,32.6k
Concentrix Corporation,3.6,31.7k
Amazon,3.9,31k
iEnergizer,4.6,27.3k
Reliance Retail,3.9,27.1k
LTIMindtree,3.6,26.1k
IBM,3.9,25.5k
HDB Financial Services,3.9,25.3k
Larsen & Toubro Limited,3.9,23.5k
Deloitte,3.7,22.7k
Kotak Mahindra Bank,3.6,22.1k
Reliance Industries,4.0,20k
Vodafone Idea,3.9,17.5k
Bharti Airtel,3.8,16.9k
BYJU'S,3.2,16.4k
WNS,3.3,15k
IDFC FIRST Bank,3.9,14.2k
Ernst & Young,3.4,14.2k
Tata Motors,4.1,14.1k
IndusInd Bank,3.4,14k
AU Small Finance Bank,3.9,14k
Muthoot FinCorp,4.6,13k
Bajaj Finserv,4.0,12.8k
Flipkart,3.9,12.8k
PwC,3.3,12.2k
Mahindra & Mahindra,4.0,11.9k
Infosys BPM,3.5,11.9k
HDFC Life,3.9,11.8k
DXC Technology,3.6,11.8k
Bandhan Bank,3.7,10.8k
Digitide Solutions,3.5,10.2k
Mphasis,3.3,10.1k
Yes Bank,3.7,10k
Tata Steel,4.0,9.8k
Quess,3.8,9.6k
Maruti Suzuki,4.2,9.4k
Asian Paints,3.9,9.4k
Startek,3.1,9.4k
UltraTech Cement,4.1,9.3k
Paytm,3.2,9.2k
Bajaj Finance,3.9,9k
Shriram Finance,4.0,9k
Sutherland Global Services,3.4,8.8k
Equitas Small Finance Bank,4.4,8.8k
Cipla,4.1,8.5k
EXL Service,3.6,8.5k
Wells Fargo,3.6,8.4k
Ericsson,3.9,8.3k
Samsung,3.9,8.3k
Dr. Reddy's,4.0,8.1k
Optum Global Solutions,4.0,7.8k
Delhivery,3.8,7.7k
JPMorgan Chase & Co.,3.8,7.7k
JSW Steel,3.9,7.7k
ICICI Prudential Life Insurance,3.9,7.7k
Hexaware Technologies,3.4,7.5k
HGS,3.7,7.5k
Jana Small Finance Bank,3.8,7.5k
Ujjivan Small Finance Bank,4.0,7.5k
Sun Pharmaceutical Industries,4.1,7.5k
Amazon Development Centre India,3.8,7.4k
Lupin,4.1,7.3k
Ekart Logistics,3.9,7.3k
L&T Construction,4.0,7.2k
Zydus Lifesciences,4.0,7.2k
Hindustan Unilever,4.2,7.1k
KPMG India,3.4,7.1k
ITC,3.9,7.1k
Axis Max Life Insurance,4.0,7k
Megha Engineering & Infrastructures,3.9,6.8k
Tata Projects,4.2,6.8k
Coforge,3.3,6.7k
Bajaj Life Insurance,3.8,6.5k
L&T Technology Services,3.1,6.5k
Cholamandalam Investment & Finance,3.8,6.5k
FIS,3.8,6.5k
Oracle,3.5,6.3k
Omega Healthcare,3.8,6.3k
Muthoot Finance,3.7,6.3k
IIFL Finance,4.0,6.3k
JLL,4.1,6.2k
Indian Army,4.7,6.2k
eClerx,3.1,6.2k
HCL Group,3.5,6.1k
DMart,3.9,6k
Virtusa Consulting Services,3.7,6k
Piramal Finance,4.2,6k
Indiamart Intermesh,3.5,5.9k
HSBC Group,3.9,5.9k
PolicyBazaar,3.8,5.9k
SMFG India Credit,3.9,5.8k
Access Healthcare,3.7,5.8k
BigBasket,3.9,5.8k
Aurobindo Pharma,4.0,5.7k
Siemens,3.9,5.7k
Udaan,3.9,5.7k
GlobalLogic,3.5,5.7k
Manappuram Finance,3.9,5.7k
Firstsource Solutions,3.5,5.7k
Tata Capital,4.0,5.7k
ICICI Lombard General Insurance Company,3.5,5.7k
Shapoorji Pallonji Group,4.1,5.6k
Standard Chartered,3.6,5.6k
UST,3.7,5.6k
Apollo Hospitals,4.1,5.6k
Mahindra Finance,3.9,5.6k
Bosch Global Software Technologies,3.7,5.5k
Ashok Leyland,4.0,5.5k
Swiggy,3.7,5.5k
Citicorp,3.7,5.4k
Hero MotoCorp,4.1,5.4k
CGI Group,4.0,5.3k
Cyient,3.6,5.3k
SBI Cards & Payment Services,3.6,5.2k
BNY,3.6,5.2k
Kalpataru Projects International,4.2,5.2k
IQVIA,3.7,5.1k
NTT DATA,3.8,5.1k
JustDial,3.5,5.1k
Nagarjuna Construction Company,4.0,5.1k
SBI Life Insurance Company,3.7,5k
Schneider Electric,4.1,5k
CBRE,4.1,5k
TVS Motor,3.9,5k
Persistent Systems,3.6,5k
State Bank of India,3.8,4.9k
vivo,4.1,4.9k
Atos,3.8,4.9k
KEC International,4.0,4.8k
Ecom Express,4.0,4.8k
Amdocs,3.6,4.8k
JBM Group,3.9,4.8k
Eviden,3.6,4.8k
Varun Beverages,4.0,4.7k
ITC Infotech,3.7,4.7k
Nagarro,3.9,4.7k
Bosch,4.1,4.6k
