,Feature1,Feature2
0,6.5,113
1,8.8,109
2,7.93,100
3,7.39,106
4,5.62,97
5,5.62,93
6,5.23,95
7,8.46,97
8,7.4,109
9,7.83,119
10,5.08,92
11,8.88,105
12,8.33,119
13,5.85,114
14,5.73,92
15,5.73,114
16,6.22,118
17,7.1,107
18,6.73,103
19,6.16,107
20,7.45,91
21,5.56,111
22,6.17,92
23,6.47,105
24,6.82,118
25,8.14,98
26,5.8,93
27,7.06,90
28,7.37,93
29,5.19,90
30,7.43,103
31,5.68,110
32,5.26,105
33,8.8,109
34,8.86,113
35,8.23,97
36,6.22,96
37,5.39,92
38,7.74,106
39,6.76,90
40,5.49,105
41,6.98,101
42,5.14,116
43,8.64,108
44,6.04,111
45,7.65,112
46,6.25,111
47,7.08,103
48,7.19,119
49,5.74,95
50,8.88,95
51,8.1,102
52,8.76,108
53,8.58,111
54,7.39,97
55,8.69,116
56,5.35,116
57,5.78,91
58,5.18,110
59,6.3,119
60,6.55,90
61,6.09,117
62,8.31,104
63,6.43,90
64,6.12,94
65,7.17,117
66,5.56,118
67,8.21,105
68,5.3,108
69,8.95,93
70,8.09,92
71,5.79,106
72,5.02,106
73,8.26,101
74,7.83,117
75,7.92,119
76,8.09,118
77,5.3,103
78,6.43,110
79,5.46,95
80,8.45,92
81,7.49,117
82,6.32,98
83,5.25,94
84,6.24,113
85,6.3,118
86,7.92,106
87,7.55,103
88,8.55,110
89,6.89,92
90,5.48,117
91,7.85,90
92,8.04,109
93,7.25,118
94,8.08,110
95,6.98,112
96,7.09,90
97,6.71,92
98,5.1,107
99,5.43,114
100,5.13,99
101,7.55,111
102,6.26,115
103,7.03,92
104,8.63,97
105,6.0,103
106,6.64,113
107,8.02,107
108,5.92,104
109,5.31,111
110,6.16,112
111,5.64,91
112,8.72,116
113,8.23,99
114,7.53,91
115,8.49,115
116,8.21,106
117,5.75,97
118,8.57,90
119,7.16,98
120,8.23,100
121,8.58,111
122,6.27,105
123,5.44,96
124,5.91,118
125,6.71,99
126,8.27,112
127,8.44,115
128,5.03,92
129,7.04,107
130,6.67,114
131,5.89,113
132,5.48,102
133,6.35,117
134,8.77,115
135,6.29,96
136,7.08,114
137,7.81,93
138,6.45,102
139,8.89,109
140,8.85,90
141,6.01,97
142,6.99,103
143,6.2,105
144,6.14,103
145,5.15,101
146,7.44,108
147,7.01,112
148,5.21,104
149,6.11,117
150,8.63,91
151,5.96,91
152,5.58,112
153,6.96,111
154,8.94,108
155,5.97,114
156,7.69,115
157,8.05,119
158,5.95,118
159,7.91,111
160,6.47,115
161,7.53,115
162,7.53,111
163,7.14,106
164,5.36,109
165,8.34,99
166,6.28,95
167,5.75,104
168,5.16,111
169,7.36,100
170,7.71,117
171,5.07,94
172,7.05,90
173,5.91,97
174,7.58,110
175,5.7,117
176,7.76,101
177,6.55,101
178,8.75,94
179,5.55,96
180,6.36,93
181,5.45,95
182,8.7,102
183,8.51,109
184,6.03,119
185,7.64,104
186,8.27,92
187,7.22,112
188,7.12,97
189,5.97,109
190,5.37,105
191,8.59,102
192,8.6,107
193,7.53,117
194,6.36,99
195,6.4,119
196,7.9,108
197,8.59,106
198,8.55,113
199,8.12,108
